Square Feet,Bedrooms,Bathrooms,Garage Size,House Price
2195.254016,5.068324568,1.40942289,2.719666498,673676.7461
2860.757465,5.991522904,2.126722222,2.322141998,856553.0838
2411.053504,5.557301031,1.583278591,0.9994354561,721990.9721
2179.532732,5.321254009,1.269370044,0.24330417,676669.352
1694.619197,3.637991538,0.8719883271,1.221723514,486707.6396
2583.576452,5.743310239,1.359037858,0.6967024265,761811.8983
1750.348845,4.092739621,1.554567196,0.3974629043,518458.7903
3567.092003,7.706435912,2.237242846,0.1602815454,1073891.506
3854.651042,7.932383717,2.463904732,2.176783093,1157507.946
1533.766075,4.020281162,1.663554331,0.03428237588,455445.6681
3166.900152,6.780925683,2.573789024,2.311742246,950579.7711
2115.579679,5.07756803,1.274686824,0.4408399362,633734.5148
2272.178244,5.243835764,1.799167325,0.2385662478,668580.0278
3702.386553,7.702210057,2.114515653,0.2688091027,1096313.726
284.1442328,1.382086285,0.1627231159,2.016143422,91034.42272
348.5171988,1.093540138,0.9326372532,0.7361016296,87095.4616
80.87358976,1.042850377,0.3604539457,1.2616184,1377.609912
3330.479382,7.242231637,2.048703585,1.672106374,994653.7215
3112.627004,7.106989369,2.144630615,2.581653521,932377.8533
3480.048593,7.652628776,2.571072752,2.181132788,1091065.235
3914.473369,8.554201018,2.586218528,0.8109837157,1162346.778
3196.634257,6.894592896,2.470967784,0.3944483979,979605.0553
1845.917449,4.647918533,1.196500759,0.1661229613,569828.0602
3122.116705,6.88822361,2.359105186,0.9047959034,914587.6229
473.0977035,1.370050456,0.422184796,0.7863544477,157731.7084
2559.684085,5.725761385,2.2326337,1.3684217,745707.6601
573.4131496,1.166019498,0.9741948512,2.049844007,119219.8333
3778.675668,7.858926153,2.104845511,2.086876337,1147616.603
2087.393287,4.834960111,1.991067234,0.8505565397,592365.8265
1658.64776,3.607373127,1.560179687,1.139780868,507568.5188
1058.222448,2.734460326,0.7830528668,0.5434528852,304450.8666
3096.934758,6.622638216,1.761779356,2.365636537,963860.2378
1824.601329,3.784676722,1.430501378,0.1705442293,569722.0972
2273.735795,4.845753917,1.162530616,2.090991725,674196.5529
75.15920175,0.7202833142,0.2450496763,2.336086188,8971.822417
2470.541988,5.531956738,1.659956463,2.332222686,718236.4332
2448.382891,5.471091031,1.598361426,0.778267693,727030.387
2467.735987,5.588672795,1.697443418,1.121439414,736086.0374
3774.992314,8.202087898,2.165124863,1.762798906,1127169.01
2727.281196,5.885980828,1.950424945,0.8184657073,822788.1959
1438.031602,3.7726098,1.582871407,1.112558398,443971.8633
1748.127815,3.8638175,0.9915957636,0.5911628406,532352.9366
2790.524784,6.016914493,1.912641499,1.379567651,823364.8358
240.9018865,1.373727128,0.2525190496,0.1338369038,43827.35976
2667.066862,6.140327713,2.050393112,2.399387654,828946.32
2682.551478,6.06899154,1.737335442,0.230869341,792450.8585
841.5302443,1.783287376,0.986186434,1.556505446,239917.7867
515.7051906,1.950892995,0.4411324315,0.9204302986,144744.1194
1261.713404,3.237668107,0.7757044612,1.732628846,342416.5194
1454.843084,3.908533174,1.215477823,2.878300023,427857.4734
2280.787082,4.711022468,1.496006279,1.936710733,675809.6137
1754.406054,4.376938165,1.817634972,0.1060873073,539877.015
3953.495352,8.069483639,2.74207293,1.291207319,1202042.956
408.179243,1.43191805,0.9527532413,1.530050557,122958.4873
835.5070244,1.794834032,1.321473252,1.608532484,269846.2626
645.2380715,2.138484372,0.4060414712,2.044177532,200859.3242
2612.433302,6.032185562,1.858409121,0.8327882932,784901.5468
1013.16641,2.595433559,1.091059274,0.3865816964,307851.232
